course_title,level,num_subscribers,platform,price,num_reviews,subject,course_rating,course_organization,category,engagement_score,rating,num_subscribers_scaled,price_scaled,num_reviews_scaled
How I Learned Stock Trading (and How You Can Too),Expert Level,1580,Udemy,200.0,12.0,Business Finance,,,Business Finance,0.2612457956258977,1.013382708314328,0.000632,1.0,0.000437238112588814
Learn to Trade for Profit: Find and Trade Winning Stocks,All Levels,10605,Udemy,95.0,71.0,Business Finance,,,Business Finance,1.73262272716674,1.088756201878372,0.004242,0.47500000000000003,0.0025869921661504825
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Intermediate Level,2996,Udemy,125.0,200.0,Business Finance,,,Business Finance,0.8828675306750321,1.0452262154684941,0.0011983999999999999,0.625,0.0072873018764802325
Four Fundamentals of Financial Planning,All Levels,6219,Udemy,30.0,23.0,Business Finance,,,Business Finance,0.97530553083763,1.0499614908836337,0.0024876,0.15,0.0008380397157952268
Options Trading - Calendar Spread Course for Every Trader,All Levels,1113,Udemy,200.0,11.0,Business Finance,,,Business Finance,0.1895973426309564,1.0097124086821103,0.0004452,1.0,0.00040080160320641277
Dividend Investing: Build Your Portfolio for a Better Future,Beginner Level,8314,Udemy,60.0,83.0,Business Finance,,,Business Finance,1.4180903260597437,1.0726438071531843,0.0033255999999999997,0.3,0.0030242302787392965
Learn Accounting. Understand Business.,Beginner Level,5572,Udemy,200.0,123.0,Business Finance,,,Business Finance,1.097688861664152,1.0562307608447572,0.0022288,1.0,0.004481690654035343
How to Consistently Win Trading Stocks in 30 Days or Less,Intermediate Level,1433,Udemy,145.0,169.0,Business Finance,,,Business Finance,0.5826127191954752,1.0298452117192183,0.0005732,0.725,0.006157770085625796
A Beginner's Guide to Quantopian Futures API,Intermediate Level,936,Udemy,20.0,6.0,Business Finance,,,Business Finance,0.1523391511642799,1.0078038018564068,0.0003744,0.1,0.000218619056294407
How to Buy Cheap Options - Options Trading Pricing Model,All Levels,658,Udemy,200.0,2.0,Business Finance,,,Business Finance,0.10224426266818837,1.0052376159425789,0.0002632,1.0,7.287301876480233e-05
Excel Crash Course: Master Excel for Financial Analysis,All Levels,8121,Udemy,105.0,689.0,Business Finance,,,Business Finance,2.7142147051709262,1.1390397254613718,0.0032484,0.525,0.0251047549644744
"Comprehensive Guide to Financial Markets, Investing &Trading",Beginner Level,4187,Udemy,60.0,600.0,Business Finance,,,Business Finance,1.9344948362734495,1.0990974039118853,0.0016748,0.3,0.0218619056294407
